Date,Time,Total,Tenant Load,House Load,Date,Time,Outdoor Temperature,,Max DTs,3/31/12,3/31/12
10/27/10,0:00,207.4,207.4,,10/27/10,0:52,73.4,,,,
10/27/10,0:15,217.7,217.7,,10/27/10,1:52,71.6,,,,
10/27/10,0:30,207.4,207.4,,10/27/10,2:52,71.6,,,,
10/27/10,0:45,197,197,,10/27/10,3:52,71.6,,,,
10/27/10,1:00,207.4,207.4,,10/27/10,4:52,71.6,,,,
10/27/10,1:15,207.4,207.4,,10/27/10,5:52,71.6,,,,
10/27/10,1:30,207.4,207.4,,10/27/10,6:52,71.6,,,,
10/27/10,1:45,207.4,207.4,,10/27/10,7:52,71.6,,,,
10/27/10,2:00,207.4,207.4,,10/27/10,8:52,71.6,,,,
10/27/10,2:15,207.4,207.4,,10/27/10,9:52,71.6,,,,
10/27/10,2:30,207.4,207.4,,10/27/10,10:52,73.4,,,,
10/27/10,2:45,207.4,207.4,,10/27/10,11:52,73.4,,,,
10/27/10,3:00,217.7,217.7,,10/27/10,12:52,68,,,,
10/27/10,3:15,207.4,207.4,,10/27/10,13:52,71.6,,,,
10/27/10,3:30,207.4,207.4,,10/27/10,14:52,71.6,,,,
10/27/10,3:45,217.7,217.7,,10/27/10,15:52,71.6,,,,
10/27/10,4:00,217.7,217.7,,10/27/10,16:52,73.4,,,,
10/27/10,4:15,290.3,290.3,,10/27/10,17:52,73.4,,,,
10/27/10,4:30,487.3,487.3,,10/27/10,18:52,71.6,,,,
10/27/10,4:45,580.6,580.6,,10/27/10,19:52,68,,,,
10/27/10,5:00,549.5,549.5,,10/27/10,20:52,69.8,,,,
10/27/10,5:15,539.1,539.1,,10/27/10,21:52,68,,,,
10/27/10,5:30,487.3,487.3,,10/27/10,22:52,66.2,,,,
10/27/10,5:45,487.3,487.3,,10/27/10,23:52,66.2,,,,
10/27/10,6:00,456.2,456.2,,10/28/10,0:52,66.2,,,,
10/27/10,6:15,487.3,487.3,,10/28/10,1:46,66.2,,,,
10/27/10,6:30,466.6,466.6,,10/28/10,2:52,64.4,,,,
10/27/10,6:45,476.9,476.9,,10/28/10,3:52,64.4,,,,
10/27/10,7:00,466.6,466.6,,10/28/10,4:52,64.4,,,,
10/27/10,7:15,487.3,487.3,,10/28/10,5:52,62.6,,,,
10/27/10,7:30,487.3,487.3,,10/28/10,6:52,60.8,,,,
10/27/10,7:45,476.9,476.9,,10/28/10,7:52,60.8,,,,
10/27/10,8:00,508,508,,10/28/10,8:52,62.6,,,,
10/27/10,8:15,528.8,528.8,,10/28/10,9:52,64.4,,,,
10/27/10,8:30,528.8,528.8,,10/28/10,10:52,71.6,,,,
10/27/10,8:45,528.8,528.8,,10/28/10,11:52,73.4,,,,
10/27/10,9:00,559.9,559.9,,10/28/10,12:52,75.2,,,,
10/27/10,9:15,580.6,580.6,,10/28/10,13:52,77,,,,
10/27/10,9:30,580.6,580.6,,10/28/10,14:52,73.4,,,,
10/27/10,9:45,611.7,611.7,,10/28/10,15:52,75.2,,,,
10/27/10,10:00,632.4,632.4,,10/28/10,16:52,75.2,,,,
10/27/10,10:15,601.3,601.3,,10/28/10,17:52,71.6,,,,
10/27/10,10:30,632.4,632.4,,10/28/10,18:52,66.2,,,,
10/27/10,10:45,622.1,622.1,,10/28/10,19:52,62.6,,,,
10/27/10,11:00,622.1,622.1,,10/28/10,20:52,62.6,,,,
10/27/10,11:15,611.7,611.7,,10/28/10,21:52,57.2,,,,
10/27/10,11:30,632.4,632.4,,10/28/10,22:52,53.6,,,,
10/27/10,11:45,611.7,611.7,,10/28/10,23:52,51.8,,,,
10/27/10,12:00,632.4,632.4,,10/29/10,0:52,50,,,,
10/27/10,12:15,611.7,611.7,,10/29/10,1:52,48.2,,,,
10/27/10,12:30,611.7,611.7,,10/29/10,2:52,48.2,,,,
10/27/10,12:45,601.3,601.3,,10/29/10,3:52,48.2,,,,
10/27/10,13:00,611.7,611.7,,10/29/10,4:52,48.2,,,,
10/27/10,13:15,601.3,601.3,,10/29/10,5:52,48.2,,,,
10/27/10,13:30,611.7,611.7,,10/29/10,6:52,46.4,,,,
10/27/10,13:45,622.1,622.1,,10/29/10,7:52,46.4,,,,
10/27/10,14:00,632.4,632.4,,10/29/10,8:52,50,,,,
10/27/10,14:15,611.7,611.7,,10/29/10,9:52,51.8,,,,
10/27/10,14:30,611.7,611.7,,10/29/10,10:52,53.6,,,,
10/27/10,14:45,622.1,622.1,,10/29/10,11:52,53.6,,,,
10/27/10,15:00,601.3,601.3,,10/29/10,12:52,51.8,,,,
10/27/10,15:15,611.7,611.7,,10/29/10,13:52,51.8,,,,
10/27/10,15:30,611.7,611.7,,10/29/10,14:52,51.8,,,,
10/27/10,15:45,601.3,601.3,,10/29/10,15:52,53.6,,,,
10/27/10,16:00,580.6,580.6,,10/29/10,16:52,51.8,,,,
10/27/10,16:15,591,591,,10/29/10,17:52,51.8,,,,
10/27/10,16:30,580.6,580.6,,10/29/10,18:52,48.2,,,,
10/27/10,16:45,601.3,601.3,,10/29/10,19:52,48.2,,,,
10/27/10,17:00,559.9,559.9,,10/29/10,20:52,46.4,,,,
10/27/10,17:15,580.6,580.6,,10/29/10,21:52,46.4,,,,
10/27/10,17:30,539.1,539.1,,10/29/10,22:52,42.8,,,,
10/27/10,17:45,476.9,476.9,,10/29/10,23:52,42.8,,,,
10/27/10,18:00,331.8,331.8,,10/30/10,0:52,39.2,,,,
10/27/10,18:15,290.3,290.3,,10/30/10,1:52,39.2,,,,
10/27/10,18:30,311,311,,10/30/10,2:52,39.2,,,,
10/27/10,18:45,300.7,300.7,,10/30/10,3:52,37.4,,,,
10/27/10,19:00,311,311,,10/30/10,4:52,35.6,,,,
10/27/10,19:15,321.4,321.4,,10/30/10,5:52,35.6,,,,
10/27/10,19:30,300.7,300.7,,10/30/10,6:52,35.6,,,,
10/27/10,19:45,311,311,,10/30/10,7:52,35.6,,,,
10/27/10,20:00,321.4,321.4,,10/30/10,8:52,39.2,,,,
10/27/10,20:15,311,311,,10/30/10,9:52,44.6,,,,
10/27/10,20:30,311,311,,10/30/10,10:52,48.2,,,,
10/27/10,20:45,300.7,300.7,,10/30/10,11:52,51.8,,,,
10/27/10,21:00,300.7,300.7,,10/30/10,12:52,55.4,,,,
10/27/10,21:15,279.9,279.9,,10/30/10,13:52,57.2,,,,
10/27/10,21:30,279.9,279.9,,10/30/10,14:52,59,,,,
10/27/10,21:45,279.9,279.9,,10/30/10,15:52,59,,,,
10/27/10,22:00,259.2,259.2,,10/30/10,16:52,57.2,,,,
10/27/10,22:15,269.6,269.6,,10/30/10,17:52,55.4,,,,
10/27/10,22:30,259.2,259.2,,10/30/10,18:52,53.6,,,,
10/27/10,22:45,259.2,259.2,,10/30/10,19:52,53.6,,,,
10/27/10,23:00,269.6,269.6,,10/30/10,20:52,51.8,,,,
10/27/10,23:15,259.2,259.2,,10/30/10,21:52,51.8,,,,
10/27/10,23:30,259.2,259.2,,10/30/10,22:52,51.8,,,,
10/27/10,23:45,269.6,269.6,,10/30/10,23:52,50,,,,
10/28/10,0:00,259.2,259.2,,10/31/10,0:52,48.2,,,,
10/28/10,0:15,269.6,269.6,,10/31/10,1:52,46.4,,,,
10/28/10,0:30,259.2,259.2,,10/31/10,2:52,46.4,,,,
10/28/10,0:45,259.2,259.2,,10/31/10,3:52,44.6,,,,
10/28/10,1:00,269.6,269.6,,10/31/10,4:52,41,,,,
